time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftBlink,RightBlink,CombineFocusPoint X,CombineFocusPoint Y,CombineFocusPoint Z
331.7662,0.293859,0.1002885,-0.03399408,-0.01187181,1,1,126.544,0,110.8284
332.2833,0.08730984,0.01857221,-0.2135576,-0.09250605,1,1,127,1.191334,111.4629
332.8061,-0.1011351,0.09370583,-0.4168155,0.00214076,1,1,131,0.5927045,110.352
333.322,-0.1592873,-0.1274391,0,0,0.003115636,0.2185934,0,0,0
333.8268,-0.02799952,-0.0402087,-0.4021404,-0.1381471,0.6999168,0.6961074,125.881,0,110.7936
334.3476,0.1314501,0.01565015,-0.2372267,-0.09803998,1,1,126.0641,0.1,110.6513
334.8507,-0.00156951,-0.09509122,-0.3937969,-0.1781069,0.9433943,0.7987235,125.7107,0,110.6625
335.3757,-0.1050646,-0.1375432,-0.5400079,-0.2252599,0.9773594,0.8819072,126.1625,0.09999999,110.4575
335.8867,0.06521225,-0.1264696,-0.3241739,-0.2041956,1,1,125.9041,0,110.6621
336.4034,-0.07422346,-0.1758549,-0.5002558,-0.2425941,1,1,126.0116,0.2193479,110.509
336.91,0.1531018,-0.1829187,-0.2533006,-0.260427,0.8848674,0.9663925,125.8348,0,110.7258
337.4346,-0.04376543,0.1503192,-0.3876673,0.04911202,1,1,125.5261,0,106.1211
337.9393,0.1081598,0.127221,-0.2210382,0.00883925,1,1,125.2037,1.163661,105
338.4453,0.04098868,0.07268262,-0.3049082,-0.05599332,1,1,125.7589,0,106.5628
338.9632,-0.0627923,0.06309843,-0.390741,-0.06334472,1,1,125.6617,0,106.6621
339.4662,0.008540988,0.01686341,-0.3284048,-0.07382619,1,1,122.6419,0,105.7338
339.9785,0.01203191,0.09649503,-0.2809046,0.02187502,0.8703979,0.8647762,0,0,0
340.489,0.2910656,-0.011868,-0.01772958,-0.1723204,1,1,123,0.3905741,107.6841
340.9992,0.2912718,0.04699427,-0.06390578,-0.08047402,1,1,124.2788,0,106.2028
341.5127,-0.1358981,-0.1071013,-0.03707367,-0.1793021,0,0,0,0,0
342.0345,-0.09545112,0.03320676,-0.4221346,-0.07975161,1,1,122.5671,0,102.3927
342.5406,-0.0253818,0.0536328,-0.3587775,-0.04964507,1,1,121.8792,0,102.9026
343.057,-0.2021396,-0.01745117,-0.585697,-0.1116738,1,1,122.234,0,104.0782
343.5824,0.2498534,-0.2020656,0,0,0,0.1,0,0,0
344.1022,0.04046965,0.07027984,-0.2974336,-0.01331007,1,1,125.1159,0.1,105.8713
344.6035,0.1997025,0.1286619,-0.1225441,0.02206129,1,1,125.1413,0,105.3251
345.12,0.09042799,-0.1388223,-0.3066946,-0.2622058,0.8758221,0.9468936,125.8544,0.09313865,105.1766
345.6296,0.2033887,-0.1452246,-0.1909361,-0.2671039,1,1,125.8198,0,105.1291
